"scenario","n","effect","confounded","depth_confound","m_min","m_abund","abund_logN_adjusted","abund_HC3_t","method","raw_power","raw_fpr","raw_nrej","bh_power","bh_fdr","bh_nrej","nFeat","nSignal","obsZero","structZero","n_na_p","n_rep"
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"presence(Fisher)",0.112631578947368,0.06,10.6,0.01,0.09,0.34,160,19,0.31667890625,0.276090234375,0.13,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"presence(logistic+depth)",0.128421052631579,0.0475886524822695,9.15,0.00894736842105263,0.02,0.19,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"presence(logistic+depth+z)",0.135263157894737,0.0472340425531915,9.23,0.00947368421052632,0.04,0.22,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"prevalence(Tobit).adj",0.207368421052632,0.059290780141844,12.3,0.0247368421052632,0.0516666666666667,0.57,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"prevalence(Tobit).noAdj",0.257368421052632,0.0628368794326241,13.75,0.0573684210526316,0.052,1.23,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).adj",0.937894736842105,0.0547517730496454,25.54,0.797368421052632,0.0649068119702794,16.27,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).noAdj",0.875789473684211,0.155957446808511,38.63,0.747368421052632,0.303729398192713,21.9,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"obsTwo.depthCov",0.942631578947369,0.0565248226950354,25.88,0.817368421052632,0.0461034326011106,16.34,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"obsTwo.simple",0.85421052631579,0.320212765957447,61.38,0.838421052631579,0.609170887028057,43.86,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(ACAT).adj",0.923157894736842,0.0574468085106383,25.64,0.748421052631579,0.0602252474907273,15.18,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(ACAT).noAdj",0.88,0.211489361702128,46.54,0.752105263157895,0.393371679700547,25.8,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(Bonf-minP).adj",0.91421052631579,0.056241134751773,25.3,0.741578947368421,0.0599530674863492,15.03,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(Bonf-minP).noAdj",0.868947368421053,0.204042553191489,45.28,0.746315789473684,0.392498105120392,25.38,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"oracle.prev.cov",0.05,0.0478014184397163,7.69,0,0.01,0.01,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"oracle.prev.noAdj",0.126842105263158,0.133049645390071,21.17,0.0142105263157895,0.533722222222222,2.57,160,19,0.318637109375,0.277365234375,0.36,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ANCOMBC.cov",0.998947368421053,0.110780141843972,34.6,0.993684210526316,0.216690150515545,24.35,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ANCOMBC.noAdj",0.983684210526316,0.301560283687943,61.21,0.96421052631579,0.573365849877574,45.8,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.DESeq2.cov",0.975789473684211,0.0427659574468085,24.57,0.902105263157895,0.0280931281742293,17.68,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.DESeq2.noAdj",0.945263157894737,0.215531914893617,48.35,0.885263157894737,0.45347168430477,32.6,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.edgeR.cov",0.986315789473684,0.0393617021276596,24.29,0.922631578947368,0.0230487493242911,17.97,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.edgeR.noAdj",0.952631578947368,0.214113475177305,48.29,0.900526315789474,0.431219771930954,31.93,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.metagenomeSeq.cov",0.611578947368421,0.633262411347518,100.91,0.575789473684211,0.88425067381835,94.62,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.metagenomeSeq.noAdj",0.96,0.334822695035461,65.45,0.935789473684211,0.632396222211601,51.29,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.cov",0.987368421052632,0.124609929078014,36.33,0.943684210526316,0.180776175262528,22.39,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.depth",0.874736842105263,0.173617021276596,41.1,0.711578947368421,0.28347562657296,20.24,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.depthCov",0.912631578947369,0.0624113475177305,26.14,0.676315789473684,0.0597510317769606,13.76,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.noAdjust",0.936315789473684,0.345390070921986,66.49,0.907894736842105,0.599461159643944,46.16,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"presence(Fisher)",0.202631578947368,0.163475177304965,26.9,0.0463157894736842,0.709715789112848,5.31,160,19,0.318637109375,0.277365234375,0.2,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"presence(logistic+depth)",0.193684210526316,0.101843971631206,18.04,0.0157894736842105,0.166380952380952,0.77,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"presence(logistic+depth+z)",0.128421052631579,0.0504255319148936,9.55,0.00421052631578947,0.0266666666666667,0.14,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"prevalence(Tobit).adj",0.185263157894737,0.0586524822695035,11.79,0.0115789473684211,0.0191666666666667,0.26,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.2,TRUE,TRUE,3,5,TRUE,TRUE,"prevalence(Tobit).noAdj",0.320526315789474,0.172269503546099,30.38,0.113157894736842,0.504696558558401,6.37,160,19,0.318637109375,0.277365234375,0,100
"abundance",160,1.6,FALSE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).adj",0.980526315789474,0.0490070921985816,25.54,0.928947368421053,0.0464295641840399,18.57,160,19,0.32104296875,0.276841015625,0,100
"abundance",160,1.6,FALSE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).noAdj",0.978421052631579,0.0504255319148936,25.7,0.914736842105263,0.0460894945940376,18.28,160,19,0.32104296875,0.276841015625,0,100
"abundance",160,1.6,FALSE,TRUE,3,5,TRUE,TRUE,"obsTwo.depthCov",0.991578947368421,0.0933333333333333,32,0.963157894736842,0.120453060033366,21.23,160,19,0.32104296875,0.276841015625,0,100
